time,sample
0,0.408
0.001,0.402
0.002,0.215
0.003,0.215
0.004,0.482
0.005,-0.044
0.006,0.141
0.007,0.047
0.008,0.447
0.009,0.014
0.01,0.094
0.011,-0.063
0.012,0.275
0.013,0.51
0.014,0.514
0.015,0.138
0.016,0.379
0.017,0.053
0.018,0.409
0.019,0.289
0.02,0.229
0.021,0.077
0.022,0.033
0.023,0.362
0.024,0.348
0.025,0.346
0.026,0.501
0.027,0.192
0.028,0.333
0.029,0.41
0.03,0.312
0.031,0.491
0.032,0.36
0.033,0.201
0.034,0.059
0.035,0.445
0.036,0.14
0.037,0.349
0.038,0.394
0.039,0.165
0.04,0.293
0.041,0.025
0.042,0.289
0.043,0.364
0.044,0.332
0.045,0.434
0.046,0.176
0.047,0.364
0.048,0.478
0.049,0.294
0.05,0.532
0.051,-0.002
0.052,0.2
0.053,0.182
0.054,0.339
0.055,0.391
0.056,0.194
0.057,-0.016
0.058,0.408
0.059,0.097
0.06,0.089
0.061,0.077
0.062,0.356
0.063,0.22
0.064,0.348
0.065,0.276
0.066,0.422
0.067,0.098
0.068,0.201
0.069,0.075
0.07,0.431
0.071,0.203
0.072,0.27
0.073,0.315
0.074,0.092
0.075,0.285
0.076,0.184
0.077,0.12
0.078,0.39
0.079,0.192
0.08,0.037
0.081,-0.061
0.082,0.201
0.083,0.081
0.084,0.418
0.085,0.345
0.086,0.153
0.087,0.334
0.088,0.312
0.089,0.506
0.09,0.407
0.091,0.171
0.092,-0.007
0.093,0.415
0.094,0.358
0.095,0.146
0.096,0.302
0.097,0.249
0.098,0.249
0.099,0.469
0.1,0.113
0.101,0.426
0.102,0.207
0.103,0.489
0.104,0.398
0.105,0.487
0.106,0.214
0.107,0.128
0.108,0.411
0.109,0.058
0.11,0.147
0.111,0.062
0.112,0.149
0.113,0.285
0.114,0.141
0.115,0.187
0.116,0.415
0.117,0.425
0.118,0.129
0.119,0.258
0.12,0.028
0.121,0.434
0.122,0.421
0.123,0.267
0.124,0.011
0.125,0.385
0.126,0.1
0.127,0.544
0.128,0.02
0.129,0.378
0.13,0.211
0.131,0.199
0.132,0.191
0.133,0.467
0.134,0.396
0.135,0.128
0.136,0.168
0.137,0.28
0.138,0.052
0.139,0.205
0.14,0.069
0.141,0.566
0.142,0.325
0.143,0.092
0.144,0.085
0.145,0.112
0.146,0.301
0.147,0.316
0.148,0.363
0.149,0.178
0.15,0.031
0.151,0.247
0.152,-0.032
0.153,0.322
0.154,0.095
0.155,0.284
0.156,0.252
0.157,-0.07
0.158,0.261
0.159,0.109
0.16,0.174
0.161,0.114
0.162,0.402
0.163,0.373
0.164,0.532
0.165,0.021
0.166,0.358
0.167,0.242
0.168,0.385
0.169,0.163
0.17,0.334
0.171,0.108
0.172,0.248
0.173,0.458
0.174,0.196
0.175,0.35
0.176,0.489
0.177,0.349
0.178,0.454
0.179,0.342
0.18,0.341
0.181,0.201
0.182,0.523
0.183,0.127
0.184,0.371
0.185,0.421
0.186,0.264
0.187,0.077
0.188,0.327
0.189,0.27
0.19,0.003
0.191,0.483
0.192,0.377
0.193,0.372
0.194,0.3
0.195,0.43
0.196,0.1
0.197,0.312
0.198,0.419
0.199,0.236
0.2,0.45
0.201,0.07
0.202,0.367
0.203,0.01
0.204,0.186
0.205,0.32
0.206,0.453
0.207,0.08
0.208,0.075
0.209,0.398
0.21,0.421
0.211,0.53
0.212,0.002
0.213,0.112
0.214,0.315
0.215,0.207
0.216,0.245
0.217,0.047
0.218,0.286
0.219,0.107
0.22,0.425
0.221,0.118
0.222,0.216
0.223,0.318
0.224,0.249
0.225,0.139
0.226,0.246
0.227,0.022
0.228,0.097
0.229,0.028
0.23,0.116
0.231,0.291
0.232,0.175
0.233,0.331
0.234,0.392
0.235,0.365
0.236,0.22
0.237,0.426
0.238,0.077
0.239,0.218
0.24,0.265
0.241,0.49
0.242,0.257
0.243,0.12
0.244,0.07
0.245,0.433
0.246,0.182
0.247,-0.016
0.248,0.506
0.249,0.28
0.25,0.106
0.251,0.019
0.252,0.17
0.253,0.351
0.254,0.141
0.255,-0.013
0.256,0.377
0.257,0.292
0.258,0.134
0.259,0.079
0.26,0.439
0.261,0.121
0.262,0.288
0.263,0.042
0.264,0.045
0.265,0.475
0.266,0.397
0.267,0.178
0.268,0.265
0.269,0.09
0.27,0.073
0.271,0.136
0.272,0.355
0.273,0.385
0.274,0.164
0.275,0.137
0.276,0.308
0.277,0.482
0.278,0.151
0.279,0.257
0.28,0.373
0.281,0.363
0.282,0.162
0.283,0.474
0.284,0.128
0.285,0.277
0.286,0.345
0.287,0.173
0.288,-0.07
0.289,0.309
0.29,0.447
0.291,0.083
0.292,0.269
0.293,0.176
0.294,0.184
0.295,0.232
0.296,0.452
0.297,0.431
0.298,0.065
0.299,0.498
0.3,0.403
0.301,0.151
0.302,0.202
0.303,0.094
0.304,0.41
0.305,0.479
0.306,0.307
0.307,0.347
0.308,0.12
0.309,0.241
0.31,0.404
0.311,0.286
0.312,0.139
0.313,0.043
0.314,0.314
0.315,0.379
0.316,0.507
0.317,0.105
0.318,0.149
0.319,0.112
0.32,0.111
0.321,0.464
0.322,0.128
0.323,0.028
0.324,0.32
0.325,0.338
0.326,0.492
0.327,0.327
0.328,0.391
0.329,0.29
0.33,0.101
0.331,0.423
0.332,0.428
0.333,0.186
0.334,0.383
0.335,0.2
0.336,0.206
0.337,0.227
0.338,0.201
0.339,0.341
0.34,0.015
0.341,0.158
0.342,0.216
0.343,0.003
0.344,0.007
0.345,0.225
0.346,0.11
0.347,0.058
0.348,0.083
0.349,0.174
0.35,0.003
0.351,0.447
0.352,0.33
0.353,0.167
0.354,0.135
0.355,0.457
0.356,0.48
0.357,0.191
0.358,0.104
0.359,0.098
0.36,0.303
0.361,-0.024
0.362,0.065
0.363,0.267
0.364,0.271
0.365,-0.039
0.366,0.324
0.367,0.075
0.368,0.423
0.369,0.357
0.37,0.158
0.371,-0.085
0.372,0.381
0.373,0.31
0.374,-0.051
0.375,0.423
0.376,0.051
0.377,0.447
0.378,0.257
0.379,0.179
0.38,0.175
0.381,0.419
0.382,0.007
0.383,0.073
0.384,0.136
0.385,0.088
0.386,0.427
0.387,0.327
0.388,0.292
0.389,0.376
0.39,0.382
0.391,0.173
0.392,0.227
0.393,0.041
0.394,0.34
0.395,0.157
0.396,0.469
0.397,0.113
0.398,0.418
0.399,0.354
0.4,0.211
0.401,0.084
0.402,0.14
0.403,0.253
0.404,0.402
0.405,0.476
0.406,0.256
0.407,0.381
0.408,0.248
0.409,0.248
0.41,0.284
0.411,0.193
0.412,0.204
0.413,0.374
0.414,0.253
0.415,0.336
0.416,0.119
0.417,0.33
0.418,0.443
0.419,0.343
0.42,0.026
0.421,0.403
0.422,0.241
0.423,0.221
0.424,0.348
0.425,0.306
0.426,0.166
0.427,0.137
0.428,0.467
0.429,0.143
0.43,0.355
0.431,0.152
0.432,0.134
0.433,0.294
0.434,0.201
0.435,0.416
0.436,0.341
0.437,0.295
0.438,0.144
0.439,0.486
0.44,0.585
0.441,0.228
0.442,0.338
0.443,0.039
0.444,0.236
0.445,0.139
0.446,0.288
0.447,0.159
0.448,0.308
0.449,0.226
0.45,0.482
0.451,0.393
0.452,0.266
0.453,0.047
0.454,0.215
0.455,0.127
0.456,0.153
0.457,-0.047
0.458,0.572
0.459,-0.004
0.46,0.214
0.461,0.013
0.462,0.377
0.463,0.171
0.464,0.352
0.465,0.104
0.466,0.418
0.467,0.181
0.468,0.467
0.469,-0.024
0.47,0.283
0.471,-0.001
0.472,0.387
0.473,0.35
0.474,0.497
0.475,0.19
0.476,0.307
0.477,0.344
0.478,0.018
0.479,0.214
0.48,0.305
0.481,0.241
0.482,0.364
0.483,0.51
0.484,0.333
0.485,0.108
0.486,0.466
0.487,-0.005
0.488,0.372
0.489,0.231
0.49,0.046
0.491,0.036
0.492,0.301
0.493,0.421
0.494,0.348
0.495,0.154
0.496,0.275
0.497,0.396
0.498,0.258
0.499,0.341
0.5,0.094
0.501,0.0584
0.502,0.1128
0.503,0.095
0.504,0.014
0.505,-0.07
0.506,-0.002
0.507,0.0852
0.508,0.037
0.509,0.069
0.51,-0.035
0.511,0.064
0.512,0.051
0.513,-0.075
0.514,0.075
0.515,-0.084
0.516,-0.003
0.517,0.02
0.518,-0.048
0.519,-0.057
0.52,-0.005
0.521,-0.057
0.522,0.0718
0.523,0.034
0.524,-0.007
0.525,0.023
0.526,-0.069
0.527,-0.0554
0.528,-0.05
0.529,0.003
0.53,-0.04
